alpha,treatment,n,belief_p_good,sigma
0.1,average,4,0.9999252687598503,0.0
0.1,average,4,0.9999640168974514,0.0
0.1,average,4,0.9999826744792187,0.0
0.1,average,4,0.9999916580076457,0.0
0.1,average,4,0.9999959834677893,0.0
0.1,average,4,0.9999980661100931,0.0
0.1,average,4,0.9999990688668888,0.0
0.1,average,4,0.9999995516764337,0.0
0.2,average,1,4.4832356622863844e-07,0.0
0.2,average,1,9.311331110683387e-07,0.0
0.2,average,1,1.933889906840015e-06,0.0
0.2,average,1,4.016532210711153e-06,0.0
0.2,average,1,8.341992354374403e-06,0.0
0.2,average,1,1.7325520781310956e-05,0.0
0.2,average,1,3.598310254857863e-05,0.0
0.2,average,1,7.473124014964098e-05,0.0
0.2,average,1,0.00015519854688630862,0.0
0.2,average,1,0.000322281578390244,0.0
0.2,average,1,0.0006691218136659368,0.0
0.2,average,1,0.0013887138389895221,0.0
0.2,average,1,0.0028799447526805452,0.0
0.2,average,1,0.005962929815715962,0.0
0.2,average,1,0.012305525174070148,0.0
0.2,average,1,0.02522336653034603,0.0
0.2,average,1,0.05100160356570151,0.0
0.2,average,1,0.10041133455210231,0.0
0.2,average,1,0.18819599109131396,0.0
0.2,average,1,0.32499999999999996,0.0
0.2,average,1,0.5,0.0
0.2,average,1,0.675,0.0
0.2,average,1,0.811804008908686,0.0
0.2,average,1,0.8995886654478976,0.0
0.2,average,1,0.9489983964342984,0.0
0.2,average,1,0.974776633469654,0.0
0.2,average,1,0.9876944748259299,0.0
0.2,average,1,0.9940370701842841,0.0
0.2,average,1,0.9971200552473196,0.0
0.2,average,1,0.9986112861610106,0.0
0.2,average,1,0.9993308781863341,0.0
0.2,average,1,0.9996777184216098,0.0
0.2,average,1,0.9998448014531137,0.0
0.2,average,1,0.9999252687598503,0.0
0.2,average,1,0.9999640168974514,0.0
0.2,average,1,0.9999826744792187,0.0
0.2,average,1,0.9999916580076457,0.0
0.2,average,1,0.9999959834677893,0.0
0.2,average,1,0.9999980661100931,0.0
0.2,average,1,0.9999990688668888,0.0
0.2,average,1,0.9999995516764337,0.0
0.2,average,2,4.4832356622863844e-07,1.0
0.2,average,2,9.311331110683387e-07,1.0
0.2,average,2,1.933889906840015e-06,1.0
0.2,average,2,4.016532210711153e-06,1.0
0.2,average,2,8.341992354374403e-06,1.0
0.2,average,2,1.7325520781310956e-05,1.0
0.2,average,2,3.598310254857863e-05,1.0
0.2,average,2,7.473124014964098e-05,1.0
0.2,average,2,0.00015519854688630862,1.0
0.2,average,2,0.000322281578390244,1.0
0.2,average,2,0.0006691218136659368,1.0
0.2,average,2,0.0013887138389895221,1.0
0.2,average,2,0.0028799447526805452,1.0
0.2,average,2,0.005962929815715962,1.0
0.2,average,2,0.012305525174070148,1.0
0.2,average,2,0.02522336653034603,1.0
0.2,average,2,0.05100160356570151,1.0
0.2,average,2,0.10041133455210231,0.26163862660467035
0.2,average,2,0.18819599109131396,0.0
0.2,average,2,0.32499999999999996,0.0
0.2,average,2,0.5,0.0
0.2,average,2,0.675,0.0
0.2,average,2,0.811804008908686,0.0
0.2,average,2,0.8995886654478976,0.0
0.2,average,2,0.9489983964342984,0.0
0.2,average,2,0.974776633469654,0.0
0.2,average,2,0.9876944748259299,0.0
0.2,average,2,0.9940370701842841,0.0
0.2,average,2,0.9971200552473196,0.0
0.2,average,2,0.9986112861610106,0.0
0.2,average,2,0.9993308781863341,0.0
0.2,average,2,0.9996777184216098,0.0
0.2,average,2,0.9998448014531137,0.0
0.2,average,2,0.9999252687598503,0.0
0.2,average,2,0.9999640168974514,0.0
0.2,average,2,0.9999826744792187,0.0
0.2,average,2,0.9999916580076457,0.0
0.2,average,2,0.9999959834677893,0.0
0.2,average,2,0.9999980661100931,0.0
0.2,average,2,0.9999990688668888,0.0
0.2,average,2,0.9999995516764337,0.0
0.2,average,3,4.4832356622863844e-07,1.0
0.2,average,3,9.311331110683387e-07,1.0
0.2,average,3,1.933889906840015e-06,1.0
0.2,average,3,4.016532210711153e-06,1.0
0.2,average,3,8.341992354374403e-06,1.0
0.2,average,3,1.7325520781310956e-05,1.0
0.2,average,3,3.598310254857863e-05,1.0
0.2,average,3,7.473124014964098e-05,1.0
0.2,average,3,0.00015519854688630862,1.0
0.2,average,3,0.000322281578390244,1.0
0.2,average,3,0.0006691218136659368,1.0
0.2,average,3,0.0013887138389895221,1.0
0.2,average,3,0.0028799447526805452,1.0
0.2,average,3,0.005962929815715962,1.0
0.2,average,3,0.012305525174070148,1.0
0.2,average,3,0.02522336653034603,1.0
0.2,average,3,0.05100160356570151,1.0
0.2,average,3,0.10041133455210231,1.0
0.2,average,3,0.18819599109131396,0.3366108239816914
0.2,average,3,0.32499999999999996,0.0
0.2,average,3,0.5,0.0
0.2,average,3,0.675,0.0
0.2,average,3,0.811804008908686,0.0
0.2,average,3,0.8995886654478976,0.0
0.2,average,3,0.9489983964342984,0.0
0.2,average,3,0.974776633469654,0.0
0.2,average,3,0.9876944748259299,0.0
0.2,average,3,0.9940370701842841,0.0
0.2,average,3,0.9971200552473196,0.0
0.2,average,3,0.9986112861610106,0.0
0.2,average,3,0.9993308781863341,0.0
0.2,average,3,0.9996777184216098,0.0
0.2,average,3,0.9998448014531137,0.0
0.2,average,3,0.9999252687598503,0.0
0.2,average,3,0.9999640168974514,0.0
0.2,average,3,0.9999826744792187,0.0
0.2,average,3,0.9999916580076457,0.0
0.2,average,3,0.9999959834677893,0.0
0.2,average,3,0.9999980661100931,0.0
0.2,average,3,0.9999990688668888,0.0
0.2,average,3,0.9999995516764337,0.0
0.2,average,4,4.4832356622863844e-07,1.0
0.2,average,4,9.311331110683387e-07,1.0
0.2,average,4,1.933889906840015e-06,1.0
0.2,average,4,4.016532210711153e-06,1.0
0.2,average,4,8.341992354374403e-06,1.0
0.2,average,4,1.7325520781310956e-05,1.0
0.2,average,4,3.598310254857863e-05,1.0
0.2,average,4,7.473124014964098e-05,1.0
0.2,average,4,0.00015519854688630862,1.0
0.2,average,4,0.000322281578390244,1.0
0.2,average,4,0.0006691218136659368,1.0
0.2,average,4,0.0013887138389895221,1.0
0.2,average,4,0.0028799447526805452,1.0
0.2,average,4,0.005962929815715962,1.0
0.2,average,4,0.012305525174070148,1.0
0.2,average,4,0.02522336653034603,1.0
0.2,average,4,0.05100160356570151,1.0
0.2,average,4,0.10041133455210231,1.0
0.2,average,4,0.18819599109131396,1.0
0.2,average,4,0.32499999999999996,0.0783284189828078
0.2,average,4,0.5,0.0
0.2,average,4,0.675,0.0
0.2,average,4,0.811804008908686,0.0
0.2,average,4,0.8995886654478976,0.0
0.2,average,4,0.9489983964342984,0.0
0.2,average,4,0.974776633469654,0.0
0.2,average,4,0.9876944748259299,0.0
0.2,average,4,0.9940370701842841,0.0
0.2,average,4,0.9971200552473196,0.0
0.2,average,4,0.9986112861610106,0.0
0.2,average,4,0.9993308781863341,0.0
0.2,average,4,0.9996777184216098,0.0
0.2,average,4,0.9998448014531137,0.0
0.2,average,4,0.9999252687598503,0.0
0.2,average,4,0.9999640168974514,0.0
0.2,average,4,0.9999826744792187,0.0
0.2,average,4,0.9999916580076457,0.0
0.2,average,4,0.9999959834677893,0.0
0.2,average,4,0.9999980661100931,0.0
0.2,average,4,0.9999990688668888,0.0
0.2,average,4,0.9999995516764337,0.0
0.3,average,1,4.4832356622863844e-07,0.0
0.3,average,1,9.311331110683387e-07,0.0
0.3,average,1,1.933889906840015e-06,0.0
0.3,average,1,4.016532210711153e-06,0.0
0.3,average,1,8.341992354374403e-06,0.0
0.3,average,1,1.7325520781310956e-05,0.0
0.3,average,1,3.598310254857863e-05,0.0
0.3,average,1,7.473124014964098e-05,0.0
0.3,average,1,0.00015519854688630862,0.0
0.3,average,1,0.000322281578390244,0.0
0.3,average,1,0.0006691218136659368,0.0
0.3,average,1,0.0013887138389895221,0.0
0.3,average,1,0.0028799447526805452,0.0
0.3,average,1,0.005962929815715962,0.0
0.3,average,1,0.012305525174070148,0.0
0.3,average,1,0.02522336653034603,0.0
0.3,average,1,0.05100160356570151,0.0
0.3,average,1,0.10041133455210231,0.0
0.3,average,1,0.18819599109131396,0.0
0.3,average,1,0.32499999999999996,0.0
0.3,average,1,0.5,0.0
0.3,average,1,0.675,0.0
0.3,average,1,0.811804008908686,0.0
0.3,average,1,0.8995886654478976,0.0
0.3,average,1,0.9489983964342984,0.0
0.3,average,1,0.974776633469654,0.0
0.3,average,1,0.9876944748259299,0.0
0.3,average,1,0.9940370701842841,0.0
0.3,average,1,0.9971200552473196,0.0
0.3,average,1,0.9986112861610106,0.0
0.3,average,1,0.9993308781863341,0.0
0.3,average,1,0.9996777184216098,0.0
0.3,average,1,0.9998448014531137,0.0
0.3,average,1,0.9999252687598503,0.0
0.3,average,1,0.9999640168974514,0.0
0.3,average,1,0.9999826744792187,0.0
0.3,average,1,0.9999916580076457,0.0
0.3,average,1,0.9999959834677893,0.0
0.3,average,1,0.9999980661100931,0.0
0.3,average,1,0.9999990688668888,0.0
0.3,average,1,0.9999995516764337,0.0
0.3,average,2,4.4832356622863844e-07,1.0
0.3,average,2,9.311331110683387e-07,1.0
0.3,average,2,1.933889906840015e-06,1.0
0.3,average,2,4.016532210711153e-06,1.0
0.3,average,2,8.341992354374403e-06,1.0
0.3,average,2,1.7325520781310956e-05,1.0
0.3,average,2,3.598310254857863e-05,1.0
0.3,average,2,7.473124014964098e-05,1.0
0.3,average,2,0.00015519854688630862,1.0
0.3,average,2,0.000322281578390244,1.0
0.3,average,2,0.0006691218136659368,1.0
0.3,average,2,0.0013887138389895221,1.0
0.3,average,2,0.0028799447526805452,1.0
0.3,average,2,0.005962929815715962,1.0
0.3,average,2,0.012305525174070148,1.0
0.3,average,2,0.02522336653034603,1.0
0.3,average,2,0.05100160356570151,1.0
0.3,average,2,0.10041133455210231,0.5175743240829862
0.3,average,2,0.18819599109131396,0.0
0.3,average,2,0.32499999999999996,0.0
0.3,average,2,0.5,0.0
0.3,average,2,0.675,0.0
0.3,average,2,0.811804008908686,0.0
0.3,average,2,0.8995886654478976,0.0
0.3,average,2,0.9489983964342984,0.0
0.3,average,2,0.974776633469654,0.0
0.3,average,2,0.9876944748259299,0.0
0.3,average,2,0.9940370701842841,0.0
0.3,average,2,0.9971200552473196,0.0
0.3,average,2,0.9986112861610106,0.0
0.3,average,2,0.9993308781863341,0.0
0.3,average,2,0.9996777184216098,0.0
0.3,average,2,0.9998448014531137,0.0
0.3,average,2,0.9999252687598503,0.0
0.3,average,2,0.9999640168974514,0.0
0.3,average,2,0.9999826744792187,0.0
0.3,average,2,0.9999916580076457,0.0
0.3,average,2,0.9999959834677893,0.0
0.3,average,2,0.9999980661100931,0.0
0.3,average,2,0.9999990688668888,0.0
0.3,average,2,0.9999995516764337,0.0
0.3,average,3,4.4832356622863844e-07,1.0
0.3,average,3,9.311331110683387e-07,1.0
0.3,average,3,1.933889906840015e-06,1.0
0.3,average,3,4.016532210711153e-06,1.0
0.3,average,3,8.341992354374403e-06,1.0
0.3,average,3,1.7325520781310956e-05,1.0
0.3,average,3,3.598310254857863e-05,1.0
0.3,average,3,7.473124014964098e-05,1.0
0.3,average,3,0.00015519854688630862,1.0
0.3,average,3,0.000322281578390244,1.0
0.3,average,3,0.0006691218136659368,1.0
0.3,average,3,0.0013887138389895221,1.0
0.3,average,3,0.0028799447526805452,1.0
0.3,average,3,0.005962929815715962,1.0
0.3,average,3,0.012305525174070148,1.0
0.3,average,3,0.02522336653034603,1.0
0.3,average,3,0.05100160356570151,1.0
0.3,average,3,0.10041133455210231,1.0
0.3,average,3,0.18819599109131396,0.5816027890231988
0.3,average,3,0.32499999999999996,0.0
0.3,average,3,0.5,0.0
0.3,average,3,0.675,0.0
0.3,average,3,0.811804008908686,0.0
0.3,average,3,0.8995886654478976,0.0
0.3,average,3,0.9489983964342984,0.0
0.3,average,3,0.974776633469654,0.0
0.3,average,3,0.9876944748259299,0.0
0.3,average,3,0.9940370701842841,0.0
0.3,average,3,0.9971200552473196,0.0
0.3,average,3,0.9986112861610106,0.0
0.3,average,3,0.9993308781863341,0.0
0.3,average,3,0.9996777184216098,0.0
0.3,average,3,0.9998448014531137,0.0
0.3,average,3,0.9999252687598503,0.0
0.3,average,3,0.9999640168974514,0.0
0.3,average,3,0.9999826744792187,0.0
0.3,average,3,0.9999916580076457,0.0
0.3,average,3,0.9999959834677893,0.0
0.3,average,3,0.9999980661100931,0.0
0.3,average,3,0.9999990688668888,0.0
0.3,average,3,0.9999995516764337,0.0
0.3,average,4,4.4832356622863844e-07,1.0
0.3,average,4,9.311331110683387e-07,1.0
0.3,average,4,1.933889906840015e-06,1.0
0.3,average,4,4.016532210711153e-06,1.0
0.3,average,4,8.341992354374403e-06,1.0
0.3,average,4,1.7325520781310956e-05,1.0
0.3,average,4,3.598310254857863e-05,1.0
0.3,average,4,7.473124014964098e-05,1.0
0.3,average,4,0.00015519854688630862,1.0
0.3,average,4,0.000322281578390244,1.0
0.3,average,4,0.0006691218136659368,1.0
0.3,average,4,0.0013887138389895221,1.0
0.3,average,4,0.0028799447526805452,1.0
0.3,average,4,0.005962929815715962,1.0
0.3,average,4,0.012305525174070148,1.0
0.3,average,4,0.02522336653034603,1.0
0.3,average,4,0.05100160356570151,1.0
0.3,average,4,0.10041133455210231,1.0
0.3,average,4,0.18819599109131396,1.0
0.3,average,4,0.32499999999999996,0.19776208825109667
0.3,average,4,0.5,0.0
0.3,average,4,0.675,0.0
0.3,average,4,0.811804008908686,0.0
0.3,average,4,0.8995886654478976,0.0
0.3,average,4,0.9489983964342984,0.0
0.3,average,4,0.974776633469654,0.0
0.3,average,4,0.9876944748259299,0.0
0.3,average,4,0.9940370701842841,0.0
0.3,average,4,0.9971200552473196,0.0
0.3,average,4,0.9986112861610106,0.0
0.3,average,4,0.9993308781863341,0.0
0.3,average,4,0.9996777184216098,0.0
0.3,average,4,0.9998448014531137,0.0
0.3,average,4,0.9999252687598503,0.0
0.3,average,4,0.9999640168974514,0.0
0.3,average,4,0.9999826744792187,0.0
0.3,average,4,0.9999916580076457,0.0
0.3,average,4,0.9999959834677893,0.0
0.3,average,4,0.9999980661100931,0.0
0.3,average,4,0.9999990688668888,0.0
0.3,average,4,0.9999995516764337,0.0
0.4,average,1,4.4832356622863844e-07,0.0
0.4,average,1,9.311331110683387e-07,0.0
0.4,average,1,1.933889906840015e-06,0.0
0.4,average,1,4.016532210711153e-06,0.0
0.4,average,1,8.341992354374403e-06,0.0
0.4,average,1,1.7325520781310956e-05,0.0
0.4,average,1,3.598310254857863e-05,0.0
0.4,average,1,7.473124014964098e-05,0.0
0.4,average,1,0.00015519854688630862,0.0
0.4,average,1,0.000322281578390244,0.0
0.4,average,1,0.0006691218136659368,0.0
0.4,average,1,0.0013887138389895221,0.0
0.4,average,1,0.0028799447526805452,0.0
0.4,average,1,0.005962929815715962,0.0
0.4,average,1,0.012305525174070148,0.0
0.4,average,1,0.02522336653034603,0.0
0.4,average,1,0.05100160356570151,0.0
0.4,average,1,0.10041133455210231,0.0
0.4,average,1,0.18819599109131396,0.0
0.4,average,1,0.32499999999999996,0.0
0.4,average,1,0.5,0.0
0.4,average,1,0.675,0.0
0.4,average,1,0.811804008908686,0.0
0.4,average,1,0.8995886654478976,0.0
0.4,average,1,0.9489983964342984,0.0
0.4,average,1,0.974776633469654,0.0
0.4,average,1,0.9876944748259299,0.0
0.4,average,1,0.9940370701842841,0.0
0.4,average,1,0.9971200552473196,0.0
0.4,average,1,0.9986112861610106,0.0
0.4,average,1,0.9993308781863341,0.0
0.4,average,1,0.9996777184216098,0.0
0.4,average,1,0.9998448014531137,0.0
0.4,average,1,0.9999252687598503,0.0
0.4,average,1,0.9999640168974514,0.0
0.4,average,1,0.9999826744792187,0.0
0.4,average,1,0.9999916580076457,0.0
0.4,average,1,0.9999959834677893,0.0
0.4,average,1,0.9999980661100931,0.0
0.4,average,1,0.9999990688668888,0.0
0.4,average,1,0.9999995516764337,0.0
0.4,average,2,4.4832356622863844e-07,1.0
0.4,average,2,9.311331110683387e-07,1.0
0.4,average,2,1.933889906840015e-06,1.0
0.4,average,2,4.016532210711153e-06,1.0
0.4,average,2,8.341992354374403e-06,1.0
0.4,average,2,1.7325520781310956e-05,1.0
0.4,average,2,3.598310254857863e-05,1.0
0.4,average,2,7.473124014964098e-05,1.0
0.4,average,2,0.00015519854688630862,1.0
0.4,average,2,0.000322281578390244,1.0
0.4,average,2,0.0006691218136659368,1.0
0.4,average,2,0.0013887138389895221,1.0
0.4,average,2,0.0028799447526805452,1.0
0.4,average,2,0.005962929815715962,1.0
0.4,average,2,0.012305525174070148,1.0
0.4,average,2,0.02522336653034603,1.0
0.4,average,2,0.05100160356570151,1.0
0.4,average,2,0.10041133455210231,0.7962571221328253
0.4,average,2,0.18819599109131396,0.0
0.4,average,2,0.32499999999999996,0.0
0.4,average,2,0.5,0.0
0.4,average,2,0.675,0.0
0.4,average,2,0.811804008908686,0.0
0.4,average,2,0.8995886654478976,0.0
0.4,average,2,0.9489983964342984,0.0
0.4,average,2,0.974776633469654,0.0
0.4,average,2,0.9876944748259299,0.0
0.4,average,2,0.9940370701842841,0.0
0.4,average,2,0.9971200552473196,0.0
0.4,average,2,0.9986112861610106,0.0
0.4,average,2,0.9993308781863341,0.0
0.4,average,2,0.9996777184216098,0.0
0.4,average,2,0.9998448014531137,0.0
0.4,average,2,0.9999252687598503,0.0
0.4,average,2,0.9999640168974514,0.0
0.4,average,2,0.9999826744792187,0.0
0.4,average,2,0.9999916580076457,0.0
0.4,average,2,0.9999959834677893,0.0
0.4,average,2,0.9999980661100931,0.0
0.4,average,2,0.9999990688668888,0.0
0.4,average,2,0.9999995516764337,0.0
0.4,average,3,4.4832356622863844e-07,1.0
0.4,average,3,9.311331110683387e-07,1.0
0.4,average,3,1.933889906840015e-06,1.0
0.4,average,3,4.016532210711153e-06,1.0
0.4,average,3,8.341992354374403e-06,1.0
0.4,average,3,1.7325520781310956e-05,1.0
0.4,average,3,3.598310254857863e-05,1.0
0.4,average,3,7.473124014964098e-05,1.0
0.4,average,3,0.00015519854688630862,1.0
0.4,average,3,0.000322281578390244,1.0
0.4,average,3,0.0006691218136659368,1.0
0.4,average,3,0.0013887138389895221,1.0
0.4,average,3,0.0028799447526805452,1.0
0.4,average,3,0.005962929815715962,1.0
0.4,average,3,0.012305525174070148,1.0
0.4,average,3,0.02522336653034603,1.0
0.4,average,3,0.05100160356570151,1.0
0.4,average,3,0.10041133455210231,1.0
0.4,average,3,0.18819599109131396,0.8363395429787144
0.4,average,3,0.32499999999999996,0.0
0.4,average,3,0.5,0.0
0.4,average,3,0.675,0.0
0.4,average,3,0.811804008908686,0.0
0.4,average,3,0.8995886654478976,0.0
0.4,average,3,0.9489983964342984,0.0
0.4,average,3,0.974776633469654,0.0
0.4,average,3,0.9876944748259299,0.0
0.4,average,3,0.9940370701842841,0.0
0.4,average,3,0.9971200552473196,0.0
0.4,average,3,0.9986112861610106,0.0
0.4,average,3,0.9993308781863341,0.0
0.4,average,3,0.9996777184216098,0.0
0.4,average,3,0.9998448014531137,0.0
0.4,average,3,0.9999252687598503,0.0
0.4,average,3,0.9999640168974514,0.0
0.4,average,3,0.9999826744792187,0.0
0.4,average,3,0.9999916580076457,0.0
0.4,average,3,0.9999959834677893,0.0
0.4,average,3,0.9999980661100931,0.0
0.4,average,3,0.9999990688668888,0.0
0.4,average,3,0.9999995516764337,0.0
0.4,average,4,4.4832356622863844e-07,1.0
0.4,average,4,9.311331110683387e-07,1.0
0.4,average,4,1.933889906840015e-06,1.0
0.4,average,4,4.016532210711153e-06,1.0
0.4,average,4,8.341992354374403e-06,1.0
0.4,average,4,1.7325520781310956e-05,1.0
0.4,average,4,3.598310254857863e-05,1.0
0.4,average,4,7.473124014964098e-05,1.0
0.4,average,4,0.00015519854688630862,1.0
0.4,average,4,0.000322281578390244,1.0
0.4,average,4,0.0006691218136659368,1.0
0.4,average,4,0.0013887138389895221,1.0
0.4,average,4,0.0028799447526805452,1.0
0.4,average,4,0.005962929815715962,1.0
0.4,average,4,0.012305525174070148,1.0
0.4,average,4,0.02522336653034603,1.0
0.4,average,4,0.05100160356570151,1.0
0.4,average,4,0.10041133455210231,1.0
0.4,average,4,0.18819599109131396,1.0
0.4,average,4,0.32499999999999996,0.38930953981241984
0.4,average,4,0.5,0.0
0.4,average,4,0.675,0.0
0.4,average,4,0.811804008908686,0.0
0.4,average,4,0.8995886654478976,0.0
0.4,average,4,0.9489983964342984,0.0
0.4,average,4,0.974776633469654,0.0
0.4,average,4,0.9876944748259299,0.0
0.4,average,4,0.9940370701842841,0.0
0.4,average,4,0.9971200552473196,0.0
0.4,average,4,0.9986112861610106,0.0
0.4,average,4,0.9993308781863341,0.0
0.4,average,4,0.9996777184216098,0.0
0.4,average,4,0.9998448014531137,0.0
0.4,average,4,0.9999252687598503,0.0
0.4,average,4,0.9999640168974514,0.0
0.4,average,4,0.9999826744792187,0.0
0.4,average,4,0.9999916580076457,0.0
0.4,average,4,0.9999959834677893,0.0
0.4,average,4,0.9999980661100931,0.0
0.4,average,4,0.9999990688668888,0.0
0.4,average,4,0.9999995516764337,0.0
0.5,average,1,4.4832356622863844e-07,0.0
0.5,average,1,9.311331110683387e-07,0.0
0.5,average,1,1.933889906840015e-06,0.0
0.5,average,1,4.016532210711153e-06,0.0
0.5,average,1,8.341992354374403e-06,0.0
0.5,average,1,1.7325520781310956e-05,0.0
0.5,average,1,3.598310254857863e-05,0.0
0.5,average,1,7.473124014964098e-05,0.0
0.5,average,1,0.00015519854688630862,0.0
0.5,average,1,0.000322281578390244,0.0
0.5,average,1,0.0006691218136659368,0.0
0.5,average,1,0.0013887138389895221,0.0
0.5,average,1,0.0028799447526805452,0.0
0.5,average,1,0.005962929815715962,0.0
0.5,average,1,0.012305525174070148,0.0
0.5,average,1,0.02522336653034603,0.0
0.5,average,1,0.05100160356570151,0.0
0.5,average,1,0.10041133455210231,0.0
0.5,average,1,0.18819599109131396,0.0
0.5,average,1,0.32499999999999996,0.0
0.5,average,1,0.5,0.0
0.5,average,1,0.675,0.0
0.5,average,1,0.811804008908686,0.0
0.5,average,1,0.8995886654478976,0.0
0.5,average,1,0.9489983964342984,0.0
0.5,average,1,0.974776633469654,0.0
0.5,average,1,0.9876944748259299,0.0
0.5,average,1,0.9940370701842841,0.0
0.5,average,1,0.9971200552473196,0.0
0.5,average,1,0.9986112861610106,0.0
0.5,average,1,0.9993308781863341,0.0
0.5,average,1,0.9996777184216098,0.0
0.5,average,1,0.9998448014531137,0.0
0.5,average,1,0.9999252687598503,0.0
0.5,average,1,0.9999640168974514,0.0
0.5,average,1,0.9999826744792187,0.0
0.5,average,1,0.9999916580076457,0.0
0.5,average,1,0.9999959834677893,0.0
0.5,average,1,0.9999980661100931,0.0
0.5,average,1,0.9999990688668888,0.0
0.5,average,1,0.9999995516764337,0.0
0.5,average,2,4.4832356622863844e-07,1.0
0.5,average,2,9.311331110683387e-07,1.0
0.5,average,2,1.933889906840015e-06,1.0
0.5,average,2,4.016532210711153e-06,1.0
0.5,average,2,8.341992354374403e-06,1.0
0.5,average,2,1.7325520781310956e-05,1.0
0.5,average,2,3.598310254857863e-05,1.0
0.5,average,2,7.473124014964098e-05,1.0
0.5,average,2,0.00015519854688630862,1.0
0.5,average,2,0.000322281578390244,1.0
0.5,average,2,0.0006691218136659368,1.0
0.5,average,2,0.0013887138389895221,1.0
0.5,average,2,0.0028799447526805452,1.0
0.5,average,2,0.005962929815715962,1.0
0.5,average,2,0.012305525174070148,1.0
0.5,average,2,0.02522336653034603,1.0
0.5,average,2,0.05100160356570151,1.0
0.5,average,2,0.10041133455210231,1.0
0.5,average,2,0.18819599109131396,0.0
0.5,average,2,0.32499999999999996,0.0
0.5,average,2,0.5,0.0
0.5,average,2,0.675,0.0
0.5,average,2,0.811804008908686,0.0
0.5,average,2,0.8995886654478976,0.0
0.5,average,2,0.9489983964342984,0.0
0.5,average,2,0.974776633469654,0.0
0.5,average,2,0.9876944748259299,0.0
0.5,average,2,0.9940370701842841,0.0
0.5,average,2,0.9971200552473196,0.0
0.5,average,2,0.9986112861610106,0.0
0.5,average,2,0.9993308781863341,0.0
0.5,average,2,0.9996777184216098,0.0
0.5,average,2,0.9998448014531137,0.0
0.5,average,2,0.9999252687598503,0.0
0.5,average,2,0.9999640168974514,0.0
0.5,average,2,0.9999826744792187,0.0
0.5,average,2,0.9999916580076457,0.0
0.5,average,2,0.9999959834677893,0.0
0.5,average,2,0.9999980661100931,0.0
0.5,average,2,0.9999990688668888,0.0
0.5,average,2,0.9999995516764337,0.0
0.5,average,3,4.4832356622863844e-07,1.0
0.5,average,3,9.311331110683387e-07,1.0
0.5,average,3,1.933889906840015e-06,1.0
0.5,average,3,4.016532210711153e-06,1.0
0.5,average,3,8.341992354374403e-06,1.0
0.5,average,3,1.7325520781310956e-05,1.0
0.5,average,3,3.598310254857863e-05,1.0
0.5,average,3,7.473124014964098e-05,1.0
0.5,average,3,0.00015519854688630862,1.0
0.5,average,3,0.000322281578390244,1.0
0.5,average,3,0.0006691218136659368,1.0
0.5,average,3,0.0013887138389895221,1.0
0.5,average,3,0.0028799447526805452,1.0
0.5,average,3,0.005962929815715962,1.0
0.5,average,3,0.012305525174070148,1.0
0.5,average,3,0.02522336653034603,1.0
0.5,average,3,0.05100160356570151,1.0
0.5,average,3,0.10041133455210231,1.0
0.5,average,3,0.18819599109131396,1.0
0.5,average,3,0.32499999999999996,0.0
0.5,average,3,0.5,0.0
0.5,average,3,0.675,0.0
0.5,average,3,0.811804008908686,0.0
0.5,average,3,0.8995886654478976,0.0
0.5,average,3,0.9489983964342984,0.0
0.5,average,3,0.974776633469654,0.0
0.5,average,3,0.9876944748259299,0.0
0.5,average,3,0.9940370701842841,0.0
0.5,average,3,0.9971200552473196,0.0
0.5,average,3,0.9986112861610106,0.0
0.5,average,3,0.9993308781863341,0.0
0.5,average,3,0.9996777184216098,0.0
0.5,average,3,0.9998448014531137,0.0
0.5,average,3,0.9999252687598503,0.0
0.5,average,3,0.9999640168974514,0.0
0.5,average,3,0.9999826744792187,0.0
0.5,average,3,0.9999916580076457,0.0
0.5,average,3,0.9999959834677893,0.0
0.5,average,3,0.9999980661100931,0.0
0.5,average,3,0.9999990688668888,0.0
0.5,average,3,0.9999995516764337,0.0
0.5,average,4,4.4832356622863844e-07,1.0
0.5,average,4,9.311331110683387e-07,1.0
0.5,average,4,1.933889906840015e-06,1.0
0.5,average,4,4.016532210711153e-06,1.0
0.5,average,4,8.341992354374403e-06,1.0
0.5,average,4,1.7325520781310956e-05,1.0
0.5,average,4,3.598310254857863e-05,1.0
0.5,average,4,7.473124014964098e-05,1.0
0.5,average,4,0.00015519854688630862,1.0
0.5,average,4,0.000322281578390244,1.0
0.5,average,4,0.0006691218136659368,1.0
0.5,average,4,0.0013887138389895221,1.0
0.5,average,4,0.0028799447526805452,1.0
0.5,average,4,0.005962929815715962,1.0
0.5,average,4,0.012305525174070148,1.0
0.5,average,4,0.02522336653034603,1.0
0.5,average,4,0.05100160356570151,1.0
0.5,average,4,0.10041133455210231,1.0
0.5,average,4,0.18819599109131396,1.0
0.5,average,4,0.32499999999999996,0.5699518313399887
0.5,average,4,0.5,0.0
0.5,average,4,0.675,0.0
0.5,average,4,0.811804008908686,0.0
0.5,average,4,0.8995886654478976,0.0
0.5,average,4,0.9489983964342984,0.0
0.5,average,4,0.974776633469654,0.0
0.5,average,4,0.9876944748259299,0.0
0.5,average,4,0.9940370701842841,0.0
0.5,average,4,0.9971200552473196,0.0
0.5,average,4,0.9986112861610106,0.0
0.5,average,4,0.9993308781863341,0.0
0.5,average,4,0.9996777184216098,0.0
